codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
47998,PPPMC,AVIÃO,CESSNA AIRCRAFT,TU206G,C206,PISTÃO,MONOMOTOR,1633,1981.0,PARTICULAR,RONDONÓPOLIS,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
48012,PTHML,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,1983.0,MÚLTIPLA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
48013,PTHPK,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,1991.0,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,MANOBRA,SUBSTANCIAL,0
48014,PPRTX,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,1946.0,INSTRUÇÃO,OSCAR LARANJEIRAS,FORA DE AERODROMO,ARREMETIDA NO SOLO,SUBSTANCIAL,0
48053,PTWDI,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,1724,1979.0,PARTICULAR,CAMPO GRANDE,ESTÂNCIA SANTA MARIA,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
48055,PPGMR,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1992.0,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,FORA DE AERODROMO,POUSO,LEVE,0
48058,PRVBE,AVIÃO,BOEING COMPANY,737-8AS,B738,JATO,BIMOTOR,70533,1999.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
48064,PRFLM,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1972.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
48074,PRIOC,AVIÃO,BOEING COMPANY,727-264,B722,JATO,TRIMOTOR,88360,1983.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
48078,PPPJB,AVIÃO,EMBRAER,ERJ 170-200 LR,E170,JATO,BIMOTOR,38790,2009.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
