codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
66991,PTKLW,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1974.0,PARTICULAR,BRIGADEIRO ARARIPE MACEDO,BRIGADEIRO ARARIPE MACEDO,DECOLAGEM,NENHUM,0
66991,PURCR,ULTRALEVE,***,CARCARA I,ULAC,PISTÃO,MONOMOTOR,377,2003.0,EXPERIMENTAL,FORA DE AERODROMO,BRIGADEIRO ARARIPE MACEDO,POUSO,NENHUM,0
67003,PRFLE,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,760,1980.0,INSTRUÇÃO,HERCÍLIO LUZ,HERCÍLIO LUZ,CORRIDA APÓS POUSO,LEVE,0
67005,PPJRC,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,2011.0,PARTICULAR,BACACHERI,BACACHERI,CORRIDA APÓS POUSO,LEVE,0
67008,PRONW,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,78000,0.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,HERCÍLIO LUZ,TÁXI,NENHUM,0
67009,PRATE,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,2011.0,REGULAR,AFONSO PENA,AFONSO PENA,APROXIMAÇÃO FINAL,NENHUM,0
67010,PTKZR,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,1979.0,TÁXI AÉREO,SANTOS DUMONT,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,SUBIDA,NENHUM,0
67011,PTOPT,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1992.0,INSTRUÇÃO,COMANDANTE ANTONIO AMILTON BERALDO,COMANDANTE ANTONIO AMILTON BERALDO,POUSO,SUBSTANCIAL,0
67022,PRBGT,HELICÓPTERO,SIKORSKY AIRCRAFT,S-92A,S92,TURBOEIXO,BIMOTOR,12020,2013.0,TÁXI AÉREO,CABO FRIO,CABO FRIO,CRUZEIRO,NENHUM,0
67028,PRATU,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,2012.0,REGULAR,TANCREDO NEVES,CORONEL ALTINO MACHADO,DECOLAGEM,NENHUM,0
67038,PRBAR,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,2006.0,TÁXI AÉREO,JACAREPAGUÁ,JACAREPAGUÁ,CRUZEIRO,LEVE,0
67040,PTLKX,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,PARTICULAR,Francisco Beltrão,JUVENAL LOUREIRO CARDOSO,SUBIDA,SUBSTANCIAL,0
67047,PRMAP,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,2002.0,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,AEROPORTO INTERNACIONAL DE SANTIAGO,SUBIDA,NENHUM,0
67048,PRDRY,AVIÃO,TWIN COMMANDER,695,AC95,TURBOÉLICE,BIMOTOR,4683,1980.0,PARTICULAR,AEROPORTO ESTADUAL DE JUNDIAÍ,VIRACOPOS,CORRIDA APÓS POUSO,LEVE,0
67053,PRUST,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1975.0,PARTICULAR,VIRGÍLIO TÁVORA,PINTO MARTINS,POUSO,LEVE,0
67054,PPXCE,ULTRALEVE,***,KR-2S,ULAC,PISTÃO,MONOMOTOR,480,1999.0,EXPERIMENTAL,PARÁ DE MINAS,PARÁ DE MINAS,DESCIDA,DESTRUÍDA,0
67055,PRAXF,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,2012.0,REGULAR,GOVERNADOR JOSÉ RICHA,AFONSO PENA,CORRIDA APÓS POUSO,LEVE,0
67058,PRPRF,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1315,2000.0,PARTICULAR,PISTA DE POUSO  NÃO HOMOLOGADA,PONTA PORÃ,DECOLAGEM,DESTRUÍDA,2
67066,PTIYB,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1973.0,PARTICULAR,SOROCABA,NASCIMENTO I,POUSO,SUBSTANCIAL,0
67068,PPZLG,BALÃO,***,BALAO M 36,BALL,SEM TRAÇÃO,SEM TRAÇÃO,950,1988.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
67077,PRAVD,AVIÃO,AIRBUS INDUSTRIE,A319-115,A319,JATO,BIMOTOR,75500,2010.0,REGULAR,SANTOS DUMONT,CONGONHAS,OUTRA FASE,LEVE,0
67078,PRONR,AVIÃO,AIRBUS INDUSTRIE,A318-121,A318,JATO,BIMOTOR,63000,2008.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,AFONSO PENA,APROXIMAÇÃO FINAL,NENHUM,0
67086,PRMHA,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,2006.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,ZUMBI DOS PALMARES,SUBIDA,NENHUM,0
67096,PROSB,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2006.0,PARTICULAR,FAZENDA SÃO JOSÉ O.B.,CAMPO DE MARTE,APROXIMAÇÃO FINAL,LEVE,0
67098,PTWCO,AVIÃO,CESSNA AIRCRAFT,172R,C172,PISTÃO,MONOMOTOR,1202,1982.0,PARTICULAR,PEDRO MORGANTI,AEROPORTO ESTADUAL DE JUNDIAÍ,CORRIDA APÓS POUSO,NENHUM,0
67100,PTWYD,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,2495,1979.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
67101,N483CJ,AVIÃO,TEXTRON AVIATION INC,525B,***,JATO,BIMOTOR,0,2015.0,PARTICULAR,CATARATAS,CONGONHAS,SUBIDA,NENHUM,0
67114,PTRPU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,1984.0,PARTICULAR,NOVO CAMPO,NOVO CAMPO,CRUZEIRO,***,0
67118,PRHAC,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1975.0,ADMINISTRAÇÃO DIRETA,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,JUSCELINO KUBITSCHECK,POUSO,SUBSTANCIAL,0
67119,PRVBM,AVIÃO,BOEING COMPANY,737-7EA,B737,JATO,BIMOTOR,66224,2001.0,REGULAR,FORA DE AERODROMO,AFONSO PENA,CORRIDA APÓS POUSO,NENHUM,0
67121,PRBEM,AVIÃO,CESSNA AIRCRAFT,LC42-550FG,COL3,PISTÃO,MONOMOTOR,1542,2003.0,PARTICULAR,CIRILO QUEIRÓZ,FORMOSA,CORRIDA APÓS POUSO,LEVE,0
67127,PRONZ,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,78000,0.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,PRESIDENTE JUSCELINO KUBITSCHEK,DESCIDA,NENHUM,0
67129,PTOEY,AVIÃO,BEECH AIRCRAFT,D35,BE35,PISTÃO,MONOMOTOR,1236,1953.0,PARTICULAR,ITAITUBA,NOVO PROGRESSO,DESCIDA,NENHUM,0
67136,PTRNL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721D,P32R,PISTÃO,MONOMOTOR,1633,1982.0,TÁXI AÉREO,OURILÂNDIA DO NORTE,FORA DE AERODROMO,CORRIDA APÓS POUSO,SUBSTANCIAL,0
67137,PUMON,ULTRALEVE,AVENOR AUGUSTO MONTANDON,EXCEL CARGO,ULAC,PISTÃO,MONOMOTOR,750,2010.0,EXPERIMENTAL,BRIGADEIRO ARARIPE MACEDO,BOTELHO,DECOLAGEM,SUBSTANCIAL,0
67139,PPGOB,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1993.0,INSTRUÇÃO,SANTA GENOVEVA/GOIÂNIA,SANTA GENOVEVA/GOIÂNIA,DECOLAGEM,LEVE,0
67140,PRSAC,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1992.0,TÁXI AÉREO,CRUZEIRO DO SUL,PLÁCIDO DE CASTRO,CORRIDA APÓS POUSO,LEVE,0
67142,PRAVC,AVIÃO,AIRBUS INDUSTRIE,A319-115,A319,JATO,BIMOTOR,75500,2010.0,REGULAR,CONGONHAS,ANTONIO CARLOS JOBIM / GALEÃO,PROCEDIMENTO DE APROXIMAÇÃO IFR,NENHUM,0
67152,PTKUK,AVIÃO,TWIN COMMANDER,500-B,AC50,PISTÃO,BIMOTOR,3062,1961.0,ESPECIALIZADA,BARTOLOMEU LISANDRO,BARTOLOMEU LISANDRO,CRUZEIRO,LEVE,0
67155,PRAZF,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,2009.0,REGULAR,MARECHAL RONDON,TANCREDO NEVES,DECOLAGEM,NENHUM,0
67158,PRAXA,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,2011.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,SANTA GENOVEVA/GOIÂNIA,APROXIMAÇÃO FINAL,NENHUM,0
67159,PTGKO,AVIÃO,EMBRAER,EMB-110E,E110,TURBOÉLICE,BIMOTOR,5600,1976.0,TÁXI AÉREO,VITÓRIA DA CONQUISTA,DEPUTADO LUÍS EDUARDO MAGALHÃES,SUBIDA,LEVE,0
77200,PRMLY,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1906,1973.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,SUBSTANCIAL,1
77202,PPWGS,AVIÃO,CESSNA AIRCRAFT,510,C510,JATO,BIMOTOR,3921,2008.0,PARTICULAR,AEROPORTO ESTADUAL DE JUNDIAÍ,GASTÃO MADEIRA,CORRIDA APÓS POUSO,LEVE,0
77203,PRGNL,AVIÃO,CESSNA AIRCRAFT,525,C525,JATO,BIMOTOR,4717,2003.0,PARTICULAR,ARAGUAÍNA,GUARARAPES - GILBERTO FREYRE,DECOLAGEM,LEVE,0
77205,PRRMZ,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,2010.0,PARTICULAR,PORTO SEGURO,CORONEL ALTINO MACHADO,CRUZEIRO,NENHUM,0
77206,PREDR,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1497,1976.0,ESPECIALIZADA,PISTA DE POUSO EVENTUAL,PISTA DE POUSO EVENTUAL,CRUZEIRO,LEVE,0
77208,PRIMN,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,1977.0,PARTICULAR,UMBERTO MODIANO,SANTOS DUMONT,POUSO,LEVE,0
77209,PRHAA,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2,EC35,TURBOEIXO,BIMOTOR,2835,2002.0,PARTICULAR,RIO PARDO,HELICIDADE,DESCIDA,LEVE,0
77211,PRBGT,HELICÓPTERO,SIKORSKY AIRCRAFT,S-92A,S92,TURBOEIXO,BIMOTOR,12020,2013.0,PARTICULAR,CABO FRIO,OCEAN RIG CORCOVADO,DECOLAGEM,LEVE,0
77213,PRHHG,HELICÓPTERO,ROBINSON HELICOPTER,R66,R66,TURBOEIXO,MONOMOTOR,1225,2013.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
77230,PRONU,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,1978.0,INSTRUÇÃO,14 BIS,14 BIS,CIRCUITO DE TRÁFEGO,NENHUM,0
77239,PRZTL,AVIÃO,MELO TRANSPORTES E LOGISTICA LTDA,RV-10,ZZZZ,PISTÃO,MONOMOTOR,1224,2011.0,EXPERIMENTAL,SALGADO FILHO,CANELA,SUBIDA,LEVE,0
77244,PPHRE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PAUL,PISTÃO,MONOMOTOR,660,1960.0,INSTRUÇÃO,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,LEVE,0
77245,PRZHD,AVIÃO,MARCELO QUEIROZ DUARTE,RV-10,ZZZZ,PISTÃO,MONOMOTOR,1224,2012.0,EXPERIMENTAL,CAMPO DE MARTE,AMERICANA,TÁXI,NENHUM,0
77248,PTOTV,AVIÃO,PIPER AIRCRAFT,PA-31T1,PAY1,TURBOÉLICE,BIMOTOR,3946,1981.0,TÁXI AÉREO,BRIGADEIRO LYSIAS RODRIGUES,SANTA GENOVEVA/GOIÂNIA,CORRIDA APÓS POUSO,LEVE,0
77249,PPFGR,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1988.0,INSTRUÇÃO,ERECHIM,ERECHIM,CORRIDA APÓS POUSO,LEVE,0
77250,PTFJA,AVIÃO,CESSNA AIRCRAFT,525,C525,JATO,BIMOTOR,4717,1999.0,PARTICULAR,ABA,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,TÁXI,NENHUM,0
77251,PUANS,ULTRALEVE,***,PARADISE I,ULAC,PISTÃO,MONOMOTOR,720,2009.0,EXPERIMENTAL,FORA DE AERODROMO,SEBASTIÃO GOMES DE SOUZA,DECOLAGEM,DESTRUÍDA,1
77252,PUMMT,ULTRALEVE,***,PARADISE I,ULAC,PISTÃO,MONOMOTOR,700,2007.0,EXPERIMENTAL,FORA DE AERODROMO,JUARA SUL,CRUZEIRO,DESTRUÍDA,3
77255,PRLOR,AVIÃO,CESSNA AIRCRAFT,210R,C210,PISTÃO,MONOMOTOR,1747,1985.0,PARTICULAR,NOVO PROGRESSO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
77256,PPBRV,AVIÃO,PIPER AIRCRAFT,PA-42,PAY3,TURBOÉLICE,BIMOTOR,5080,1981.0,TÁXI AÉREO,***,HERCÍLIO LUZ,CORRIDA APÓS POUSO,LEVE,0
77257,PTCKJ,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,1969.0,TÁXI AÉREO,PINTO MARTINS,DIX-SEPT ROSADO,SUBIDA,NENHUM,0
77258,PRAYO,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,2010.0,REGULAR,VIRACOPOS,TANCREDO NEVES,APROXIMAÇÃO FINAL,LEVE,0
77259,PTOCL,AVIÃO,PIPER AIRCRAFT,PA-31T,PAY2,TURBOÉLICE,BIMOTOR,4082,1980.0,TÁXI AÉREO,BACACHERI,MINISTRO VICTOR KONDER,POUSO,SUBSTANCIAL,0
77264,PTBBN,AVIÃO,CESSNA AIRCRAFT,175,C175,PISTÃO,MONOMOTOR,1066,0.0,PARTICULAR,PEDRO MORGANTI,PEDRO MORGANTI,POUSO,SUBSTANCIAL,0
77265,PPVIT,AVIÃO,BEECH AIRCRAFT,M35,BE35,PISTÃO,MONOMOTOR,1338,1960.0,PARTICULAR,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA (SBTL*),SUBIDA,SUBSTANCIAL,0
77267,PROTO,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,2007.0,PARTICULAR,FAZENDA MACUCO,SÍLVIO NAME JÚNIOR,DECOLAGEM,DESTRUÍDA,0
77271,PTFFG,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1905,1983.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
77276,PRMBG,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,75500,2001.0,REGULAR,MAESTRO WILSON FONSECA,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,LEVE,0
77277,PTNSL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711B,P28R,PISTÃO,MONOMOTOR,1248,1980.0,PARTICULAR,PARÁ DE MINAS,PARÁ DE MINAS,POUSO,LEVE,0
77278,PTJVM,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1633,1974.0,PARTICULAR,SÍLVIO NAME JÚNIOR,SÍLVIO NAME JÚNIOR,ARREMETIDA NO SOLO,SUBSTANCIAL,0
77281,PPLJA,***,***,***,***,***,SEM TRAÇÃO,0,0.0,PARTICULAR,CONGONHAS,SANTOS DUMONT,CRUZEIRO,NENHUM,0
77281,PROTV,AVIÃO,TEXTRON AVIATION,B200GT,BE30,TURBOÉLICE,BIMOTOR,5670,2016.0,PARTICULAR,CONGONHAS,REGIONAL DA ZONA DA MATA,SUBIDA,NENHUM,0
77285,PTMCX,***,***,***,***,***,SEM TRAÇÃO,0,0.0,PARTICULAR,AEROCLUBE DE ELDORADO DO SUL,SALGADO FILHO,APROXIMAÇÃO FINAL,NENHUM,0
77288,PRDDQ,AVIÃO,PIPER AIRCRAFT,PA-42-720,PAY3,TURBOÉLICE,BIMOTOR,5080,1985.0,TÁXI AÉREO,CATARATAS,BACACHERI,PROCEDIMENTO DE APROXIMAÇÃO IFR,NENHUM,0
77289,PRAQA,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,2012.0,REGULAR,TANCREDO NEVES,VITÓRIA DA CONQUISTA,POUSO,LEVE,0
77294,PTWGF,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,7711,1980.0,TÁXI AÉREO,TERRAVISTA,CONGONHAS,POUSO,LEVE,0
77296,PPCTC,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,2009.0,PARTICULAR,COSTA ESMERALDA,SÍLVIO NAME JÚNIOR,PROCEDIMENTO DE APROXIMAÇÃO IFR,NENHUM,0
77297,PPSGO,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,2012.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
77298,PRMHW,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,2008.0,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,HERCÍLIO LUZ,POUSO,LEVE,0
77299,PTVUU,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2011.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
77301,PTUZI,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2010.0,AGRÍCOLA,FAZENDA CATACO,FAZENDA CATACO,POUSO,SUBSTANCIAL,0
77303,PRTTP,AVIÃO,BOEING COMPANY,727-2M7,B722,JATO,TRIMOTOR,88360,1978.0,REGULAR,HERCÍLIO LUZ,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
77304,PTURV,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,2004.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,SUBSTANCIAL,0
77306,PTJMQ,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1974.0,PARTICULAR,FAZENDA ÁGUA AZUL,ITAITUBA,DESCIDA,SUBSTANCIAL,0
77307,PRAXS,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,2013.0,REGULAR,VIRACOPOS,SALGADO FILHO,POUSO,LEVE,0
77311,PTEZR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,TÁXI AÉREO,TABATINGA,FONTE BOA,CRUZEIRO,NENHUM,0
77312,PTMCC,AVIÃO,EMBRAER,EMB-121A1,E121,TURBOÉLICE,BIMOTOR,5670,1983.0,PARTICULAR,CARATINGA,CARATINGA,PARTIDA DO MOTOR,LEVE,0
77314,PRONR,AVIÃO,AIRBUS INDUSTRIE,A318-121,A318,JATO,BIMOTOR,63000,2008.0,REGULAR,CONGONHAS,SANTOS DUMONT,APROXIMAÇÃO FINAL,NENHUM,0
77315,PRAZI,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,2010.0,REGULAR,SANTA GENOVEVA/GOIÂNIA,SANTOS DUMONT,DESCIDA,NENHUM,0
77316,PRMFP,AVIÃO,PIPER AIRCRAFT,PA-46R-350T,PA46,PISTÃO,MONOMOTOR,1969,2011.0,PARTICULAR,PARATI,CAMPO DE MARTE,CORRIDA APÓS POUSO,SUBSTANCIAL,0
77320,PRGXW,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2014.0,REGULAR,AFONSO PENA,CATARATAS,CORRIDA APÓS POUSO,NENHUM,0
77322,PRARV,AVIÃO,CESSNA AIRCRAFT,A185F,C185,PISTÃO,MONOMOTOR,1520,1984.0,PARTICULAR,ESTADUAL DARIO GUARITA,LUIZ GONZAGA LUTTI,OUTRA FASE,SUBSTANCIAL,0
77324,PTDNY,AVIÃO,CESSNA AIRCRAFT,A185E,C185,PISTÃO,MONOMOTOR,1497,1968.0,PARTICULAR,PIQUIATUBA,ÓBIDOS,DECOLAGEM,SUBSTANCIAL,0
77327,PPBJP,AVIÃO,THRUSH AIRCRAFT,S2R-H80,L1T,TURBOÉLICE,MONOMOTOR,4763,2016.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CHEQUE DE MOTOR OU ROTOR,LEVE,0
77329,PTKOB,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1974.0,PARTICULAR,AFONSO PENA,CAMPO DE MARTE,POUSO,NENHUM,0
77331,PTLKP,AVIÃO,BEECH AIRCRAFT,V35B,***,PISTÃO,MONOMOTOR,0,0.0,PARTICULAR,FAZENDA MALU,ROSADA,CRUZEIRO,LEVE,0
77333,PRAAV,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1966.0,INSTRUÇÃO,AEROCLUBE DE ITÁPOLIS,AEROCLUBE DE ITÁPOLIS,MANOBRA,DESTRUÍDA,1
77337,PREGD,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,2007.0,PARTICULAR,AEROCLUBE DE JOÃO PESSOA,AEROCLUBE DE JOÃO PESSOA,TÁXI,LEVE,0
77338,PRCRS,AVIÃO,CESSNA AIRCRAFT,150L,C150,PISTÃO,MONOMOTOR,726,1971.0,PARTICULAR,POUSADA DAS ÁGUIAS,PROFESSOR ERIBERTO MANOEL REINO,CRUZEIRO,NENHUM,0
77345,PUWRG,ULTRALEVE,***,FLYER GT,ULAC,PISTÃO,MONOMOTOR,460,1990.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,DESTRUÍDA,1
77349,PTOIY,AVIÃO,MITSUBISHI,MU-2B-40,MU2,TURBOÉLICE,BIMOTOR,4749,1981.0,PARTICULAR,FORA DE AERODROMO,JI-PARANÁ,POUSO,SUBSTANCIAL,0
77351,PTVTW,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2011.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
77352,PRWGO,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2494,1984.0,PARTICULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,MÁRIO RIBEIRO,POUSO,LEVE,0
77353,PPENM,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2001.0,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
77354,N154KQ,AVIÃO,QUEST AIRCRAFT,KODIAC 100,KODI,TURBOÉLICE,MONOMOTOR,3291,2015.0,***,FORA DE AERODROMO,ANÁPOLIS,DECOLAGEM,DESTRUÍDA,0
77357,PTVKD,AVIÃO,EMBRAER,EMB-820C CARAJA,PAT4,TURBOÉLICE,BIMOTOR,3629,1988.0,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,RUY BARBOSA,CRUZEIRO,NENHUM,0
77360,PRJNY,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,2010.0,PARTICULAR,FORA DE AERODROMO,ADALBERTO MENDES DA SILVA,DECOLAGEM,SUBSTANCIAL,0
77364,PRCOB,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1974.0,ADMINISTRAÇÃO DIRETA,SALINAS,MÁRIO RIBEIRO,CORRIDA APÓS POUSO,LEVE,0
77368,PRMCK,***,***,***,***,***,SEM TRAÇÃO,0,0.0,PARTICULAR,SÍLVIO NAME JÚNIOR,BAURU,DECOLAGEM,LEVE,0
77371,PTEVH,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,1979.0,TÁXI AÉREO,CANUTAMA,PISTA DE POUSO  NÃO HOMOLOGADA,DECOLAGEM,SUBSTANCIAL,0
77375,PUFLD,ULTRALEVE,***,STORM 300,ULAC,PISTÃO,MONOMOTOR,562,2004.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
77377,PTLNO,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1981.0,PARTICULAR,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,EURICO DE AGUIAR SALLES,POUSO,LEVE,0
77378,PRIVI,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,2009.0,PARTICULAR,SANTOS DUMONT,FRANCISCO DE ASSIS,CORRIDA APÓS POUSO,LEVE,0
77388,PRNAN,AVIÃO,PIPER AIRCRAFT,PA-46-500TP,P46T,PISTÃO,MONOMOTOR,1950,2013.0,PARTICULAR,PROFESSOR ERIBERTO MANOEL REINO,CAMPO DE MARTE,CORRIDA APÓS POUSO,LEVE,0
77391,PTICY,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1972.0,ADMINISTRAÇÃO DIRETA,PRESIDENTE JUSCELINO KUBITSCHEK,ALTO PARAÍSO DE GOIÁS,POUSO,SUBSTANCIAL,0
77394,PTVUZ,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,2011.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
